time_s,altitude_km,range_km,crossrange_km,heatRate_W_m2,altitude_km
79.60611186,54.62208696,3988.661562,3986.653881,3894517.469,54.62208696
81.21430778,55.13418179,3984.212356,3982.092382,3769190.326,55.13418179
84.39767467,56.09680557,3975.410845,3973.059456,3549445.951,56.09680557
87.92737148,57.07702032,3965.670997,3963.04859,3337421.39,57.07702032
90.45587329,57.73150147,3958.712211,3955.88629,3202707.55,57.73150147
91.11296276,57.89496121,3956.907282,3954.027169,3169215.704,57.89496121
93.55633367,58.48647079,3950.198686,3947.112538,3051920.557,58.48647079
97.9081395,59.44956257,3938.26134,3934.790197,2873199.65,59.44956257
101.6004452,60.17348911,3928.164917,3924.348646,2743763.615,60.17348911
102.6198137,60.36143711,3925.384665,3921.470131,2710915.246,60.36143711
106.7053329,61.05669267,3914.254291,3909.933133,2592463.006,61.05669267
112.3425155,61.86257093,3898.92603,3894.009952,2462198.519,61.86257093
114.1266646,62.07833971,3894.08756,3888.974795,2427402.79,62.07833971
118.2121838,62.51517216,3883.033964,3877.455947,2357818.993,62.51517216
123.8493664,62.97405282,3867.809702,3861.555632,2286027.891,62.97405282
125.6335154,63.08340299,3863.005763,3856.52929,2268231.599,63.08340299
127.3023684,63.17247863,3858.528337,3851.840077,2253367.943,63.17247863
131.0683843,63.32242735,3848.441361,3841.262209,2227777.047,63.32242735
136.5501563,63.41315138,3833.800277,3825.874382,2208001.556,63.41315138
143.2105876,63.32447202,3816.077334,3807.19259,2210144.389,63.32447202
150.3976209,62.99545617,3797.036486,3787.053476,2242405.603,62.99545617
157.4077244,62.45893452,3778.551763,3767.433874,2302060.847,62.45893452
163.5547266,61.82984901,3762.418015,3750.253326,2376083.243,61.82984901
168.2370606,61.2619683,3750.178804,3737.184424,2445715.552,61.2619683
170.9975532,60.89394693,3742.984567,3729.487928,2492576.451,60.89394693
171.660919,60.8019624,3741.258266,3727.639469,2504642.352,60.8019624
176.1962332,60.13836849,3729.479046,3715.010027,2591112.142,60.13836849
185.6779078,58.61884365,3704.993886,3688.665902,2787643.726,58.61884365
197.5294793,56.64397096,3674.693961,3655.896717,3039022.831,56.64397096
208.5742791,54.94070559,3646.807118,3625.576148,3236030.075,54.94070559
215.8559783,53.97733963,3628.626489,3605.727288,3334148.029,53.97733963
217.6883226,53.75724408,3624.078573,3600.751721,3355611.974,53.75724408
221.0508237,53.37427585,3615.760098,3591.639967,3394962.293,53.37427585
228.3098888,52.6487661,3597.911311,3572.04349,3452683.624,52.6487661
238.0015268,51.89385141,3574.299469,3546.027383,3493759.106,51.89385141
248.2051959,51.3222993,3549.688384,3518.799472,3498894.8,51.3222993
256.9000528,50.97363808,3528.901976,3495.714972,3485512.919,50.97363808
262.3663672,50.79654792,3515.919635,3481.254687,3470901.224,50.79654792
263.7157262,50.75815204,3512.725838,3477.692177,3466711.687,50.75815204
270.3911382,50.57678892,3496.986924,3460.104672,3450720.491,50.57678892
285.4552015,50.09772697,3461.748634,3420.551042,3444489.028,50.09772697
307.3822894,49.15581182,3411.080862,3363.259399,3483299.705,49.15581182
334.0240149,47.84112263,3350.499269,3294.124592,3553993.975,47.84112263
362.7721482,46.65938926,3286.351762,3220.2001,3555915.018,46.65938926
390.8125619,46.01787423,3225.100034,3148.931123,3442901.53,46.01787423
415.4005709,45.69485339,3172.49863,3087.18176,3302462.328,45.69485339
434.129907,45.48181121,3133.153708,3040.646622,3195028.511,45.48181121
445.1718774,45.34457435,3110.249016,3013.41647,3134127.438,45.34457435
447.8253406,45.31399568,3104.78122,3006.899456,3118388.105,45.31399568
458.1838189,45.32586284,3083.572223,2981.569191,3026591.889,45.32586284
481.0093848,44.39916717,3037.328039,2926.001867,3119235.449,44.39916717
512.7469413,41.84326949,2973.908797,2849.08758,3431831.336,41.84326949
548.5615837,40.29211323,2903.832248,2763.289222,3488480.706,40.29211323
583.0004932,39.67842036,2838.280981,2682.01295,3384142.066,39.67842036
610.8214387,41.12280113,2786.718022,2617.322578,2941008.986,41.12280113
627.7962838,41.54546528,2755.633326,2577.996251,2899337.492,41.54546528
631.9349549,41.14239141,2748.07049,2568.356248,2905075.423,41.14239141
645.3849592,41.98663385,2723.864572,2537.557053,2615234.348,41.98663385
674.4212196,42.20585011,2671.090131,2470.050847,2849626.413,42.20585011
713.1877714,35.66571703,2600.082249,2377.799085,4056379.805,35.66571703
754.0024479,39.43772999,2527.857567,2282.450923,3204107.414,39.43772999
788.7818754,40.36036565,2465.252284,2196.904857,3994967.824,40.36036565
810.6471332,39.67387289,2425.239243,2140.706258,3594447.211,39.67387289
816.0445693,42.85433384,2415.766166,2127.56965,2986369.805,42.85433384
841.775704,45.59565237,2371.084264,2063.876916,2642467.897,45.59565237
892.7095742,38.82023434,2284.443492,1935.567577,4024640.152,38.82023434
949.1847232,40.92054454,2196.741705,1799.299556,2653188.621,40.92054454
